# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,2.851393262589701529e-03
6.666666666666666075e+00,0.000000000000000000e+00,1.259849528198580745e-02
3.999999999999999112e+00,0.000000000000000000e+00,2.304975889690498089e-02
2.857142857142856762e+00,0.000000000000000000e+00,1.986499762097282060e-02
2.222222222222221877e+00,0.000000000000000000e+00,3.304218931300653694e-02
1.818181818181817677e+00,0.000000000000000000e+00,2.487402214193017158e-02
1.538461538461538103e+00,0.000000000000000000e+00,3.032313350919186787e-02
1.333333333333333037e+00,0.000000000000000000e+00,3.312141959744945713e-02
1.176470588235293935e+00,0.000000000000000000e+00,2.712985841824532354e-02
1.052631578947368141e+00,0.000000000000000000e+00,3.184647934472035341e-02
9.523809523809521060e-01,0.000000000000000000e+00,3.123510556485483564e-02
8.695652173913041016e-01,0.000000000000000000e+00,1.826756110822733148e-02
7.999999999999998224e-01,0.000000000000000000e+00,2.991004386774193460e-02
7.407407407407405886e-01,0.000000000000000000e+00,2.720142399435869843e-02
6.896551724137929273e-01,0.000000000000000000e+00,3.587553715746066157e-02
6.451612903225805162e-01,0.000000000000000000e+00,2.421486643845134276e-02
