# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,4.224333333333333274e-01,7.688622741463170263e-01
6.666666666666666075e+00,4.481999999999999873e-01,7.690666161701147363e-01
3.999999999999999112e+00,4.625333333333333519e-01,7.616025025901923540e-01
2.857142857142856762e+00,4.936666666666666425e-01,7.448506809750142788e-01
2.222222222222221877e+00,4.917666666666666853e-01,7.523743526931593317e-01
1.818181818181817677e+00,5.113999999999999657e-01,7.299792435117889999e-01
1.538461538461538103e+00,5.208666666666667000e-01,7.352813002439351209e-01
1.333333333333333037e+00,5.283999999999999808e-01,7.207326897701988866e-01
1.176470588235293935e+00,5.292000000000000037e-01,7.127477359329120743e-01
1.052631578947368141e+00,5.395666666666666389e-01,7.150064476875720443e-01
9.523809523809521060e-01,5.439666666666667094e-01,7.052030030685596529e-01
8.695652173913041016e-01,5.474333333333333274e-01,7.098122752471838215e-01
7.999999999999998224e-01,5.470666666666667011e-01,7.101543979750516433e-01
7.407407407407405886e-01,5.718333333333333046e-01,6.937652211805261926e-01
6.896551724137929273e-01,5.665999999999999925e-01,6.918843259295721637e-01
6.451612903225805162e-01,5.675666666666666638e-01,6.865094446957696883e-01
