# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,3.737882030834567271e-01
6.666666666666666075e+00,0.000000000000000000e+00,4.016037288668146132e-01
3.999999999999999112e+00,6.333333333333332959e-04,4.077658565392790480e-01
2.857142857142856762e+00,1.666666666666666611e-04,4.024285065415484919e-01
2.222222222222221877e+00,3.333333333333333493e-05,4.099829312889449184e-01
1.818181818181817677e+00,7.333333333333333414e-04,4.122765330841517972e-01
1.538461538461538103e+00,1.000000000000000048e-04,4.098496933325185276e-01
1.333333333333333037e+00,2.000000000000000042e-03,4.065511762736125356e-01
1.176470588235293935e+00,5.333333333333333589e-04,4.091582075162383814e-01
1.052631578947368141e+00,6.666666666666666986e-05,4.073287458809808914e-01
9.523809523809521060e-01,1.466666666666666683e-03,4.008816458163925733e-01
8.695652173913041016e-01,0.000000000000000000e+00,3.974846935818482363e-01
7.999999999999998224e-01,2.933333333333333365e-03,4.056173610083212977e-01
7.407407407407405886e-01,8.000000000000000383e-04,4.020229800063765402e-01
6.896551724137929273e-01,2.399999999999999790e-03,4.050343801099360874e-01
6.451612903225805162e-01,1.000000000000000021e-03,4.039264685743637062e-01
