# arrival_rate,reject_ratio,utilization
1.900000000000000000e+01,6.283999999999999586e-01,9.922412035873673375e-01
1.500000000000000000e+01,6.278000000000000247e-01,9.918787535053696924e-01
1.100000000000000000e+01,6.366666666666667140e-01,9.903764090617068749e-01
9.000000000000000000e+00,6.379666666666666819e-01,9.894645916981446021e-01
7.000000000000000000e+00,6.514999999999999680e-01,9.875600487741882372e-01
5.000000000000000000e+00,6.596999999999999531e-01,9.856744732693412114e-01
3.000000000000000000e+00,6.931333333333333790e-01,9.802940467396530355e-01
1.000000000000000000e+00,7.560666666666666647e-01,9.517111461989889998e-01
5.999999999999999778e-01,7.890333333333333643e-01,9.271243314022162840e-01
5.000000000000000000e-01,7.986333333333333062e-01,9.143140965073277560e-01
