# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,3.943999999999999728e-01,7.406743616722714085e-01
6.666666666666666075e+00,4.063333333333333242e-01,7.315057022561944899e-01
3.999999999999999112e+00,4.125333333333333075e-01,7.336706639959871268e-01
2.857142857142856762e+00,4.273000000000000131e-01,6.981148637568322934e-01
2.222222222222221877e+00,4.378000000000000225e-01,7.003460123483629118e-01
1.818181818181817677e+00,4.511000000000000010e-01,6.972566785837596148e-01
1.538461538461538103e+00,4.626666666666666705e-01,6.874327103865351951e-01
1.333333333333333037e+00,4.708999999999999853e-01,6.939954742361029716e-01
1.176470588235293935e+00,4.704666666666666441e-01,6.803686494126690576e-01
1.052631578947368141e+00,4.847666666666666790e-01,6.843116313849531007e-01
9.523809523809521060e-01,4.908000000000000140e-01,6.861233930736260200e-01
8.695652173913041016e-01,4.852000000000000202e-01,6.898866487044713613e-01
7.999999999999998224e-01,5.017666666666666941e-01,6.801164083459213527e-01
7.407407407407405886e-01,4.981666666666666465e-01,6.867807742472731292e-01
6.896551724137929273e-01,4.980333333333333279e-01,6.805300078150078313e-01
6.451612903225805162e-01,5.084999999999999520e-01,6.841035074883470291e-01
