# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,3.720979333777561515e-01
6.666666666666666075e+00,0.000000000000000000e+00,3.967811322618611247e-01
3.999999999999999112e+00,1.066666666666666718e-03,4.008868386576779352e-01
2.857142857142856762e+00,4.666666666666666619e-04,3.955556828139640269e-01
2.222222222222221877e+00,7.666666666666666899e-04,4.020995131312112281e-01
1.818181818181817677e+00,2.166666666666666567e-03,4.039097003523211549e-01
1.538461538461538103e+00,2.999999999999999737e-04,4.016695493458921629e-01
1.333333333333333037e+00,1.733333333333333254e-03,3.989593277582452191e-01
1.176470588235293935e+00,1.100000000000000066e-03,4.017389394399631386e-01
1.052631578947368141e+00,8.666666666666666269e-04,3.984571531796927690e-01
9.523809523809521060e-01,2.166666666666666567e-03,3.942100933906673155e-01
8.695652173913041016e-01,5.666666666666667074e-04,3.900443995500900707e-01
7.999999999999998224e-01,4.733333333333333316e-03,3.977659814095597657e-01
7.407407407407405886e-01,1.633333333333333425e-03,3.929459760583904893e-01
6.896551724137929273e-01,3.599999999999999901e-03,3.973761681901050169e-01
6.451612903225805162e-01,2.500000000000000052e-03,3.958394120447444320e-01
