# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,3.874333333333333518e-01,7.286390831510521915e-01
6.666666666666666075e+00,4.025666666666666837e-01,7.268891525095881878e-01
3.999999999999999112e+00,4.080333333333333590e-01,7.345510718451798704e-01
2.857142857142856762e+00,4.264999999999999902e-01,7.084702684025657726e-01
2.222222222222221877e+00,4.335666666666666558e-01,7.152042404748829574e-01
1.818181818181817677e+00,4.490999999999999992e-01,7.178929425925503205e-01
1.538461538461538103e+00,4.612999999999999878e-01,7.084796647585562823e-01
1.333333333333333037e+00,4.687333333333333352e-01,7.107865563590314295e-01
1.176470588235293935e+00,4.691000000000000170e-01,6.978087875521604699e-01
1.052631578947368141e+00,4.844666666666666566e-01,7.010410623782090678e-01
9.523809523809521060e-01,4.924666666666666637e-01,7.020595154888943368e-01
8.695652173913041016e-01,4.823999999999999955e-01,7.026787882267004903e-01
7.999999999999998224e-01,5.010000000000000009e-01,6.960245961752417054e-01
7.407407407407405886e-01,4.957666666666666888e-01,6.982744610815023734e-01
6.896551724137929273e-01,4.975666666666666571e-01,6.923230894650675982e-01
6.451612903225805162e-01,5.067000000000000393e-01,6.937789993025746949e-01
