# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,1.559000000000000108e-01,7.470386447408944308e-01
6.666666666666666075e+00,1.774000000000000021e-01,7.635023534430031011e-01
3.999999999999999112e+00,1.822000000000000008e-01,7.515647821518250948e-01
2.857142857142856762e+00,1.806666666666666698e-01,7.501900074937329910e-01
2.222222222222221877e+00,1.895000000000000018e-01,7.465455137512254646e-01
1.818181818181817677e+00,1.970666666666666678e-01,7.381364004192795258e-01
1.538461538461538103e+00,2.002333333333333465e-01,7.266366430159092449e-01
1.333333333333333037e+00,1.957666666666666722e-01,7.229117431275782213e-01
1.176470588235293935e+00,1.963999999999999913e-01,7.212909731687933146e-01
1.052631578947368141e+00,1.933999999999999886e-01,7.132700114736535424e-01
9.523809523809521060e-01,1.921333333333333226e-01,7.075140132034616336e-01
8.695652173913041016e-01,1.968999999999999917e-01,6.980992951826642257e-01
7.999999999999998224e-01,2.116333333333333400e-01,6.957081838535604801e-01
7.407407407407405886e-01,2.021000000000000019e-01,7.015054013634198782e-01
6.896551724137929273e-01,2.114999999999999936e-01,6.993470868935495188e-01
6.451612903225805162e-01,2.049999999999999878e-01,6.968318430214958115e-01
