# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,2.407053219298100136e-02
6.666666666666666075e+00,0.000000000000000000e+00,1.995931256211636584e-01
3.999999999999999112e+00,5.566666666666666811e-03,5.191418069361949383e-01
2.857142857142856762e+00,1.162333333333333274e-01,6.883752858366228855e-01
2.222222222222221877e+00,2.132666666666666599e-01,7.476282919130877724e-01
1.818181818181817677e+00,3.053666666666666751e-01,7.783167898938379015e-01
1.538461538461538103e+00,3.477999999999999980e-01,8.113874558946154725e-01
1.333333333333333037e+00,3.920666666666666744e-01,8.303860364926263227e-01
1.176470588235293935e+00,4.291666666666666408e-01,8.454392465457437611e-01
1.052631578947368141e+00,4.658999999999999808e-01,8.620035583447084315e-01
9.523809523809521060e-01,4.774333333333333207e-01,8.699368299661166537e-01
8.695652173913041016e-01,5.063333333333333020e-01,8.798280870761165939e-01
7.999999999999998224e-01,5.174333333333333007e-01,8.860852060574149203e-01
7.407407407407405886e-01,5.342333333333333378e-01,8.925141163116425691e-01
6.896551724137929273e-01,5.528666666666666174e-01,8.996885849314696371e-01
6.451612903225805162e-01,5.589666666666666117e-01,8.992108234974920400e-01
