# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,5.936000000000000165e-01,9.529463915238722826e-01
6.666666666666666075e+00,6.027333333333333432e-01,9.426051843638598715e-01
3.999999999999999112e+00,6.021666666666666279e-01,9.408635260374759168e-01
2.857142857142856762e+00,6.129000000000000004e-01,9.250055387109010763e-01
2.222222222222221877e+00,6.240333333333333288e-01,9.238938211212799345e-01
1.818181818181817677e+00,6.290333333333333332e-01,9.273372078751521697e-01
1.538461538461538103e+00,6.360333333333333394e-01,9.231304145469132472e-01
1.333333333333333037e+00,6.474666666666666348e-01,9.187663690043098574e-01
1.176470588235293935e+00,6.393666666666666387e-01,9.111124284708802534e-01
1.052631578947368141e+00,6.532000000000000028e-01,9.085910223639813710e-01
9.523809523809521060e-01,6.605999999999999650e-01,9.069899959569239778e-01
8.695652173913041016e-01,6.574333333333333140e-01,9.075146299027576635e-01
7.999999999999998224e-01,6.664999999999999813e-01,9.004563990850855681e-01
7.407407407407405886e-01,6.696333333333333027e-01,9.016832378631619571e-01
6.896551724137929273e-01,6.713666666666666671e-01,8.960987017567921820e-01
6.451612903225805162e-01,6.763666666666666716e-01,8.950649957253811184e-01
