# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,1.651666666666666561e-01,7.157947800702320063e-01
6.666666666666666075e+00,1.829999999999999960e-01,7.298273253862683774e-01
3.999999999999999112e+00,1.932000000000000106e-01,7.206767050417132170e-01
2.857142857142856762e+00,1.826666666666666716e-01,7.279771155199763477e-01
2.222222222222221877e+00,1.870999999999999885e-01,7.283209422842483738e-01
1.818181818181817677e+00,1.926333333333333231e-01,7.257093626311189594e-01
1.538461538461538103e+00,1.937333333333333407e-01,7.248629002220657869e-01
1.333333333333333037e+00,1.913999999999999868e-01,7.227277672073726400e-01
1.176470588235293935e+00,1.941333333333333244e-01,7.212697477496311516e-01
1.052631578947368141e+00,1.932999999999999996e-01,7.212227694118010790e-01
9.523809523809521060e-01,1.912333333333333385e-01,7.185648032010303332e-01
8.695652173913041016e-01,1.951666666666666550e-01,7.121939302346219636e-01
7.999999999999998224e-01,2.067666666666666542e-01,7.085598141308714348e-01
7.407407407407405886e-01,1.993666666666666643e-01,7.176757448279963425e-01
6.896551724137929273e-01,2.069000000000000006e-01,7.156161904413196329e-01
6.451612903225805162e-01,1.980999999999999983e-01,7.157432761769791929e-01
