# arrival_rate,reject_ratio,utilization
2.000000000000000000e+01,0.000000000000000000e+00,2.407061376206180367e-02
6.666666666666666075e+00,0.000000000000000000e+00,1.995590160393556634e-01
3.999999999999999112e+00,5.300000000000000024e-03,5.172008270036063671e-01
2.857142857142856762e+00,1.150000000000000050e-01,6.823543549788088081e-01
2.222222222222221877e+00,2.207666666666666666e-01,7.431309339319801532e-01
1.818181818181817677e+00,2.995666666666666478e-01,7.702841025891887794e-01
1.538461538461538103e+00,3.487333333333333396e-01,8.056811991973918952e-01
1.333333333333333037e+00,4.027333333333333321e-01,8.182471107641399177e-01
1.176470588235293935e+00,4.348666666666666791e-01,8.386018384868617614e-01
1.052631578947368141e+00,4.694999999999999729e-01,8.513318932622244706e-01
9.523809523809521060e-01,4.836333333333333595e-01,8.617626133567184432e-01
8.695652173913041016e-01,5.079333333333333478e-01,8.701888050426613841e-01
7.999999999999998224e-01,5.279333333333333655e-01,8.781966812593064997e-01
7.407407407407405886e-01,5.383666666666666600e-01,8.848324403264683502e-01
6.896551724137929273e-01,5.483000000000000096e-01,8.873274610323239608e-01
6.451612903225805162e-01,5.609333333333332838e-01,8.855291652436294569e-01
