# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,0.000000000000000000e+00,2.583247405155536611e-03,0.000000000000000000e+00
6.666666666666666075e+00,0.000000000000000000e+00,2.246951651667598165e-02,0.000000000000000000e+00
3.999999999999999112e+00,0.000000000000000000e+00,5.568322665774694258e-02,0.000000000000000000e+00
2.857142857142856762e+00,0.000000000000000000e+00,1.010146200334256505e-01,0.000000000000000000e+00
2.222222222222221877e+00,0.000000000000000000e+00,1.511057438178017298e-01,0.000000000000000000e+00
1.818181818181817677e+00,0.000000000000000000e+00,2.117998000015640647e-01,0.000000000000000000e+00
1.538461538461538103e+00,0.000000000000000000e+00,2.773911938100813157e-01,0.000000000000000000e+00
1.333333333333333037e+00,3.000000000000000062e-03,3.258923567076949523e-01,0.000000000000000000e+00
1.176470588235293935e+00,2.489999999999999852e-02,3.689369180415442706e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.696666666666666351e-02,3.939341790299435431e-01,0.000000000000000000e+00
9.523809523809521060e-01,7.763333333333333197e-02,4.292669592462368122e-01,0.000000000000000000e+00
8.695652173913041016e-01,8.459999999999999465e-02,4.470975065214882194e-01,0.000000000000000000e+00
7.999999999999998224e-01,9.710000000000000575e-02,4.694238026385663676e-01,0.000000000000000000e+00
7.407407407407405886e-01,1.129000000000000004e-01,4.850752245377404903e-01,0.000000000000000000e+00
6.896551724137929273e-01,1.339666666666666783e-01,5.126372067050765091e-01,0.000000000000000000e+00
6.451612903225805162e-01,1.421000000000000041e-01,5.178247076083445366e-01,0.000000000000000000e+00
