# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.291999999999999926e-01,6.500887144175342414e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.646333333333333093e-01,6.636688554270048224e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.675999999999999823e-01,6.754162305710957881e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.674666666666666637e-01,6.740576736701420213e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.782666666666666400e-01,6.683651727051101998e-01,0.000000000000000000e+00
1.818181818181817677e+00,3.824000000000000177e-01,6.818104075404407549e-01,0.000000000000000000e+00
1.538461538461538103e+00,3.901666666666666616e-01,6.796968017466865630e-01,0.000000000000000000e+00
1.333333333333333037e+00,3.881666666666666599e-01,6.826921291788108359e-01,0.000000000000000000e+00
1.176470588235293935e+00,3.937999999999999834e-01,6.702560539071944490e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.005000000000000226e-01,6.784279676081937938e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.074666666666666437e-01,6.693456681749117010e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.105333333333333057e-01,6.761473475288458657e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.144333333333333202e-01,6.769401334443915230e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.146000000000000241e-01,6.726601030286997185e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.147333333333333427e-01,6.758413329523332846e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.138666666666666605e-01,6.796517520007858693e-01,0.000000000000000000e+00
