# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,0.000000000000000000e+00,2.634446059405219989e-02,0.000000000000000000e+00
6.666666666666666075e+00,0.000000000000000000e+00,2.612608615115592434e-02,0.000000000000000000e+00
3.999999999999999112e+00,0.000000000000000000e+00,2.535956417902327648e-02,0.000000000000000000e+00
2.857142857142856762e+00,0.000000000000000000e+00,2.163747627547266822e-02,0.000000000000000000e+00
2.222222222222221877e+00,0.000000000000000000e+00,1.801798884166666906e-02,0.000000000000000000e+00
1.818181818181817677e+00,0.000000000000000000e+00,2.571179568511352057e-02,0.000000000000000000e+00
1.538461538461538103e+00,0.000000000000000000e+00,1.855059770151120530e-02,0.000000000000000000e+00
1.333333333333333037e+00,0.000000000000000000e+00,1.188349141367900028e-02,0.000000000000000000e+00
1.176470588235293935e+00,0.000000000000000000e+00,8.345713303595621996e-03,0.000000000000000000e+00
1.052631578947368141e+00,0.000000000000000000e+00,4.137972833142261955e-03,0.000000000000000000e+00
9.523809523809521060e-01,0.000000000000000000e+00,1.737409141610213661e-03,0.000000000000000000e+00
8.695652173913041016e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.999999999999998224e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.407407407407405886e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.896551724137929273e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.451612903225805162e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
