# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.513999999999999901e-01,6.737288780979289182e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.723000000000000198e-01,6.810017876641930590e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.840666666666666673e-01,6.874653401219955606e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.891999999999999904e-01,6.811598717046808416e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.966999999999999971e-01,6.865449010660142903e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.162333333333333441e-01,6.827787045688765710e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.093999999999999861e-01,6.827470429921710382e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.182000000000000162e-01,6.832959467179364754e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.249999999999999889e-01,6.761896568750582759e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.308666666666666756e-01,6.789457024250434847e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.376999999999999780e-01,6.788944270872072639e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.412666666666666404e-01,6.752646555472816559e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.449333333333333473e-01,6.806471614213281951e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.446999999999999842e-01,6.783682877001254719e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.541000000000000036e-01,6.740313902513985767e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.564333333333333576e-01,6.730707075771608094e-01,0.000000000000000000e+00
