# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.497333333333333405e-01,7.141200941377952027e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.754666666666666708e-01,7.250389138828472468e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.794666666666666743e-01,7.263377901522619640e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.926666666666666639e-01,7.210635581949643713e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.986333333333333395e-01,7.307948140026807593e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.006333333333333413e-01,7.248546152175978641e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.187000000000000166e-01,7.230792997238426612e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.248999999999999999e-01,7.106442170806975822e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.300666666666666527e-01,7.133252278877652008e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.429666666666666752e-01,7.112249404065110747e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.441999999999999837e-01,7.256508053603175634e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.489000000000000212e-01,7.148830083132464708e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.588999999999999746e-01,7.085794610552063055e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.506333333333333302e-01,7.087097148225826038e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.627666666666666595e-01,6.951372046896947543e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.665000000000000258e-01,6.984031823794288885e-01,0.000000000000000000e+00
