# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.430333333333333568e-01,7.097581981438954024e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.653333333333333433e-01,7.224566776169609739e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.814333333333333464e-01,7.289649689869310834e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.842999999999999750e-01,7.186411343640980443e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.907333333333333214e-01,7.262319733381467080e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.126666666666666816e-01,7.189998903964105459e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.015666666666666829e-01,7.205548182955495706e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.111000000000000210e-01,7.201115757823126629e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.202000000000000179e-01,7.063034357523165774e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.257666666666666822e-01,7.109560868777229370e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.354666666666666686e-01,7.120251337378431522e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.312000000000000277e-01,7.052706184713827264e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.378000000000000225e-01,7.135391997090659855e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.422333333333333116e-01,7.103390425838838063e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.455666666666666664e-01,7.038185636744486162e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.492666666666666475e-01,7.035801103745829010e-01,0.000000000000000000e+00
