# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.377999999999999892e-01,6.850697281378727022e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.666333333333333111e-01,6.981510398635544234e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.694333333333333358e-01,7.073230303308066791e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.681333333333333124e-01,6.982335103334329496e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.811999999999999833e-01,6.941593198428580580e-01,0.000000000000000000e+00
1.818181818181817677e+00,3.809666666666666757e-01,7.024545772478871797e-01,0.000000000000000000e+00
1.538461538461538103e+00,3.889333333333333531e-01,6.965444994196592354e-01,0.000000000000000000e+00
1.333333333333333037e+00,3.888333333333333086e-01,6.992371280080028617e-01,0.000000000000000000e+00
1.176470588235293935e+00,3.938666666666666427e-01,6.881957988753869548e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.003999999999999782e-01,6.945902797895374681e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.071333333333333471e-01,6.836434079195242708e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.117000000000000104e-01,6.867558759792524725e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.159333333333333216e-01,6.906869618046137527e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.142333333333333423e-01,6.814840607912765469e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.134666666666666490e-01,6.845028454805683893e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.137333333333333418e-01,6.808288601642548121e-01,0.000000000000000000e+00
