# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.623999999999999999e-01,7.079436861929166991e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.757666666666666933e-01,7.123714328680830210e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.850000000000000089e-01,7.140743640319603402e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.901999999999999913e-01,7.000730504133934051e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.940000000000000169e-01,7.053878463420155676e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.143999999999999906e-01,6.978316188579830603e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.033666666666666512e-01,6.998471066480034253e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.140333333333333088e-01,6.943860341763230526e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.223000000000000087e-01,6.827511025799559707e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.316999999999999726e-01,6.774117735512499294e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.380999999999999894e-01,6.808315917099754255e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.419666666666666743e-01,6.750872533637136685e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.421666666666666523e-01,6.815510631392162066e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.455333333333333368e-01,6.785459807675197075e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.521666666666666612e-01,6.735191040532432227e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.529666666666666841e-01,6.761490719802736304e-01,0.000000000000000000e+00
