# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,0.000000000000000000e+00,2.583243714011615282e-03,0.000000000000000000e+00
6.666666666666666075e+00,0.000000000000000000e+00,2.246991335027802641e-02,0.000000000000000000e+00
3.999999999999999112e+00,0.000000000000000000e+00,5.568503525849693991e-02,0.000000000000000000e+00
2.857142857142856762e+00,0.000000000000000000e+00,1.010306793826919181e-01,0.000000000000000000e+00
2.222222222222221877e+00,0.000000000000000000e+00,1.511428316085767776e-01,0.000000000000000000e+00
1.818181818181817677e+00,0.000000000000000000e+00,2.120507299399265744e-01,0.000000000000000000e+00
1.538461538461538103e+00,0.000000000000000000e+00,2.782012201943221963e-01,0.000000000000000000e+00
1.333333333333333037e+00,2.500000000000000052e-03,3.274176905863375731e-01,0.000000000000000000e+00
1.176470588235293935e+00,2.079999999999999905e-02,3.708555127566780518e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.093333333333333546e-02,3.945691182062278091e-01,0.000000000000000000e+00
9.523809523809521060e-01,6.833333333333332926e-02,4.295451389549323484e-01,0.000000000000000000e+00
8.695652173913041016e-01,7.489999999999999436e-02,4.465234405242519133e-01,0.000000000000000000e+00
7.999999999999998224e-01,8.786666666666666237e-02,4.685932767193689008e-01,0.000000000000000000e+00
7.407407407407405886e-01,9.800000000000000377e-02,4.855743738320602576e-01,0.000000000000000000e+00
6.896551724137929273e-01,1.213333333333333347e-01,5.127244012249823069e-01,0.000000000000000000e+00
6.451612903225805162e-01,1.345000000000000084e-01,5.177362523154054319e-01,0.000000000000000000e+00
