# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.585999999999999743e-01,7.077685129202825332e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.770333333333333314e-01,7.131145531286133821e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.866999999999999882e-01,7.116831749154804987e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.915666666666666740e-01,7.281222467825220201e-01,0.000000000000000000e+00
2.222222222222221877e+00,4.012999999999999901e-01,7.116675008436800232e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.126000000000000223e-01,7.034820345345694781e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.136333333333333528e-01,7.074371705072632910e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.238000000000000100e-01,7.117954509483430670e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.284333333333333327e-01,7.014834587196407956e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.434666666666666757e-01,7.006503813851301388e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.391999999999999793e-01,6.991266829193900634e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.552666666666666528e-01,7.015286215990349517e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.517999999999999794e-01,7.002434868055738004e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.627999999999999892e-01,6.930007990230064863e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.628999999999999782e-01,6.952018817441660836e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.724333333333333163e-01,6.865442186735883912e-01,0.000000000000000000e+00
