# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.510333333333333083e-01,7.053267861810730288e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.675333333333333230e-01,7.145722240689349469e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.786333333333333218e-01,7.206728360292936619e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.855666666666666687e-01,7.095264428327014983e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.963333333333333153e-01,7.148088084623529515e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.133666666666666600e-01,7.120672892110715413e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.050000000000000266e-01,7.106124478771607134e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.141666666666666829e-01,7.082436749472887927e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.223666666666666680e-01,6.977692797158170368e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.288000000000000145e-01,7.002847686150949214e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.348000000000000198e-01,7.013650614286059959e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.347333333333333605e-01,6.993917838896863692e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.414333333333333442e-01,7.015831422058749212e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.428666666666666862e-01,6.997272178702432788e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.435666666666666647e-01,6.908069239646871251e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.520666666666666722e-01,6.921661726089280986e-01,0.000000000000000000e+00
