# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.370000000000000218e-01,6.681523058108478352e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.592666666666666786e-01,6.910355760523515523e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.643333333333333424e-01,6.997016154085710093e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.731666666666666465e-01,6.901167562409217249e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.733333333333333504e-01,6.939690628250501092e-01,0.000000000000000000e+00
1.818181818181817677e+00,3.775333333333333319e-01,6.999365904430264740e-01,0.000000000000000000e+00
1.538461538461538103e+00,3.764333333333333420e-01,7.012454835270304221e-01,0.000000000000000000e+00
1.333333333333333037e+00,3.856666666666666576e-01,7.010843251392966380e-01,0.000000000000000000e+00
1.176470588235293935e+00,3.916666666666666630e-01,6.915110458378267433e-01,0.000000000000000000e+00
1.052631578947368141e+00,3.976000000000000090e-01,6.856332953171468958e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.042999999999999927e-01,6.988179923010157113e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.066000000000000170e-01,6.987390015558273548e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.122333333333333405e-01,6.915377573628158636e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.156666666666666843e-01,6.990527025186682453e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.121333333333333515e-01,6.945724948660072506e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.151000000000000245e-01,6.924397740964349790e-01,0.000000000000000000e+00
