# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.537666666666666737e-01,6.950416193710395873e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.653333333333333433e-01,7.066841344983325612e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.840666666666666673e-01,7.123481378506615336e-01,0.000000000000000000e+00
2.857142857142856762e+00,3.860333333333333394e-01,6.995953910543416532e-01,0.000000000000000000e+00
2.222222222222221877e+00,3.932333333333333236e-01,7.089712107453661760e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.126333333333333520e-01,7.053258829264702490e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.040000000000000258e-01,7.028092126471833234e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.146000000000000241e-01,7.005099919092551142e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.202000000000000179e-01,6.934671446895176450e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.276666666666666394e-01,6.948530677151227852e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.291666666666666408e-01,6.938772138526275723e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.357333333333333059e-01,6.906287996612515689e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.423000000000000265e-01,6.975715229892371916e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.434666666666666757e-01,6.932828123937139209e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.485333333333333394e-01,6.863418498890189179e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.535000000000000142e-01,6.890520466556255830e-01,0.000000000000000000e+00
