# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,5.416999999999999593e-01,8.958739453509729778e-01,0.000000000000000000e+00
6.666666666666666075e+00,5.667999999999999705e-01,9.164093632929719568e-01,0.000000000000000000e+00
3.999999999999999112e+00,5.447999999999999510e-01,9.136173120580736162e-01,0.000000000000000000e+00
2.857142857142856762e+00,5.684000000000000163e-01,9.159031654850435800e-01,0.000000000000000000e+00
2.222222222222221877e+00,5.704000000000000181e-01,8.882456233384009581e-01,0.000000000000000000e+00
1.818181818181817677e+00,5.604999999999999982e-01,9.214851293852385217e-01,0.000000000000000000e+00
1.538461538461538103e+00,5.918999999999999817e-01,9.001981330338562071e-01,0.000000000000000000e+00
1.333333333333333037e+00,5.749999999999999556e-01,9.029768953385746144e-01,0.000000000000000000e+00
1.176470588235293935e+00,5.597999999999999643e-01,9.066577265231824390e-01,0.000000000000000000e+00
1.052631578947368141e+00,5.782000000000000473e-01,9.023226647907307552e-01,0.000000000000000000e+00
9.523809523809521060e-01,5.826999999999999957e-01,8.997545069534877982e-01,0.000000000000000000e+00
8.695652173913041016e-01,5.820999999999999508e-01,9.006381989444847136e-01,0.000000000000000000e+00
7.999999999999998224e-01,5.729999999999999538e-01,8.967096106880391160e-01,0.000000000000000000e+00
7.407407407407405886e-01,5.836999999999999966e-01,8.966143543407646410e-01,0.000000000000000000e+00
6.896551724137929273e-01,5.907999999999999918e-01,8.980733640191962408e-01,0.000000000000000000e+00
6.451612903225805162e-01,5.817999999999999838e-01,8.990751642708960656e-01,0.000000000000000000e+00
