# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,5.538999999999999480e-01,8.950959573290087068e-01,0.000000000000000000e+00
6.666666666666666075e+00,5.674000000000000155e-01,9.106752920055132261e-01,0.000000000000000000e+00
3.999999999999999112e+00,5.524000000000000021e-01,8.974543782607534714e-01,0.000000000000000000e+00
2.857142857142856762e+00,5.727999999999999758e-01,8.994433026115685736e-01,0.000000000000000000e+00
2.222222222222221877e+00,5.832000000000000517e-01,8.720897702534422535e-01,0.000000000000000000e+00
1.818181818181817677e+00,5.615999999999999881e-01,8.958307155037237290e-01,0.000000000000000000e+00
1.538461538461538103e+00,5.915000000000000258e-01,8.733603206659980023e-01,0.000000000000000000e+00
1.333333333333333037e+00,5.745000000000000107e-01,8.703473800794540027e-01,0.000000000000000000e+00
1.176470588235293935e+00,5.745999999999999996e-01,8.708547989945553125e-01,0.000000000000000000e+00
1.052631578947368141e+00,5.812000000000000499e-01,8.531102661738484416e-01,0.000000000000000000e+00
9.523809523809521060e-01,5.860999999999999543e-01,8.551897528395268067e-01,0.000000000000000000e+00
8.695652173913041016e-01,5.808999999999999719e-01,8.523501546896847803e-01,0.000000000000000000e+00
7.999999999999998224e-01,5.776999999999999913e-01,8.488979468363743175e-01,0.000000000000000000e+00
7.407407407407405886e-01,5.877999999999999892e-01,8.410841304031830834e-01,0.000000000000000000e+00
6.896551724137929273e-01,5.935000000000000275e-01,8.425174615585947491e-01,0.000000000000000000e+00
6.451612903225805162e-01,5.859999999999999654e-01,8.351838797970096984e-01,0.000000000000000000e+00
